CreatedAt,Text,SentimentPct,Location,ImageUrl
03/01/2020 18:00:16,"#BernieSanders leads in California by 17 point going into Super Tuesday. If he does not carry the state, it will be because of #VoterSuppression and #ElectionManipulation. Eyes on the #CaliforniaPrimary https://t.co/dBNm2GK1ds",0.82144725,United States,
03/01/2020 17:52:48,#CaliforniaPrimary  #TexasPrimary  #BernieSanders  has been fighting for the people since the 60's  He has the drive and determination to continue to fight for #HealthCareForAll   #ClimateAction   #Fairwages #WomensRights   #Racialjustice https://t.co/QWJb2Pda32,0.601635,,
03/01/2020 17:42:45,"Biden/Obama deported more Hispanics than any other Presidency in History Bernie aided by Hispanics, bursts into lead in Texas #Bernie #BernieSanders2020 #FeelTheBern #NotMeUs #BernieBeatsTrump #CaliforniaforBernie #CaliforniaPrimary #DemocraticPrimary  https://t.co/KFHr5nb3lN",0.6691793,,
03/01/2020 17:39:13,"@JoeNBC #BernieSanders #CaliforniaPrimary 
Raising the corporate tax rate is what u neo-libs fear more than anything... Even another Trump presidency!
Bernie will properly tax corporate owned Dem/Repub #Oligarchy that's been robbing poor and middle class in this country blind for years. https://t.co/NRMXoGadI6",0.03549136,"Michigan, USA",https://pbs.twimg.com/media/ESCoTBvXUAEs1Ky.jpg
03/01/2020 17:30:36,"#biden will win 7 #democraticprimaries on #SuperTuesday #BernieSanders will win 8. #Delegates will be close due to big Biden edge in the South, but edge to #bernie due to #CaliforniaPrimary. The other candidates are meat 🥩 #Bloomberg below 5% in every state. Weinstein’s cat 🐈",0.6031265,Haunted Utonic Manor,
03/01/2020 17:30:32,"As #Democrats scramble to elect anyone but #BernieSanders, the Democratic socialist looks poised to sweep California. #2020election #BernieSanders #CaliforniaPrimary #Campaign #Delegates #Democrats #ElizabethWarren #JoeBiden #MichaelBloomberg #politics… https://t.co/2eSzHw95Fq",0.81622404,"Phoenix, AZ",
03/01/2020 17:22:23,"#CaliforniaPrimary we turn our hopeful eyes to you. Please come out in force, bring so many voters out it overwhelms the other campaigns. If #bernie2020 can truly dominate on #SuperTuesday , Biden may not ever be able to catch up in delegates and Bloomberg would no longer have a",0.0063998783,,
03/01/2020 17:03:25,"IF THE VIDEO BELOW DOESN'T BRING EXCITEMENT MAKE YOU FEEL LIKE YOU'RE PART OF SOMETHING OR BRING YOU HOPE I DON'T KNOW WHAT WILL.
#SuperTuesday #Texas  #TexasPrimary #California #CaliforniaPrimary #DemocraticPrimary #NeverBernie #DropOutBernie #BernieSanders #BernieSanders2020 https://t.co/EhH2S43D2l",0.52832204,,
03/01/2020 16:39:00,@alec_h_tyson @pewresearch Are you a fan of death by insulin rationing? Then u &amp; Biden can keep our health insurance status quo: all 900 of them. We need #MedicareForAll #GND #BlackLivesMatter #Bernie2020 #CaliforniaPrimary https://t.co/CVbglnO6t7,0.51102763,"Hawaii, USA",https://pbs.twimg.com/media/ESCage3UcAIM1lM.jpg
03/01/2020 16:35:40,@SarahLongwell25 @lauferlaw @JoeBiden Biden supports keeping all 900 health insurance companies. This means keeping death by insulin rationing. So No! to corporate domination of congress and Yes! to #MedicareForAll #GND #BlackLivesMatter #Bernie2020 #CaliforniaPrimary https://t.co/DgZfbEZ2KA,0.06142088,"Hawaii, USA",https://pbs.twimg.com/media/ESCZv0MVUAAKmCi.jpg
03/01/2020 16:34:54,"Chuck D is legit on this one. Flavor did that god awful, weak ass will show on VH1 for how long? And wants to throw 💩 at Chuck D &amp; Bernie. #SundayThoughts #chicks #BernieSanders #CaliforniaPrimary https://t.co/awXyH7AcEA",0.29425183,,
03/01/2020 16:23:59,#California #CaliforniaPrimary #Texas #TexasPrimary #SuperTuesday THIS TUESDAY GET OUT IN VOTE LETS MAKE IT LOUD AND CLEAR #BernieSanders2020 #BernieSanders IS OUR BEST CHANCE OF BEATING TRUMP #BernieBeatsTrump . BERNIE IS FOR THE PEOPLE BRINGS UNITY #BernieSandersForPresident,0.99073374,,
03/01/2020 16:18:54,"SEEM LIKE NICE FELLAS TO YOU?? #BernieSanders #AOC #aocs20 #Democrats #IlhanOmar #RashidaTlaib 
#CaliforniaPrimary #TexasPrimary 
NOT COMPATIBLE W/USA
@realDonaldTrump @SecPompeo @DHS_Wolf https://t.co/Orfmzikq7V",0.7956598,"Monrovia, Ca",
03/01/2020 16:12:40,"@majorityfm Good Work Gents ! We’ll be back out on the streets again today knocking here too -for the #CaliforniaPrimary for #NotMeUs 
Go Get Em’ !",0.96083665,"Los Angeles, CA",
03/01/2020 16:04:54,#SuperTuesday #CaliforniaPrimary #TexasPrimary #MassachusettsPrimary  #BernieSanders #NotMeUs https://t.co/DRRmlTsUkB,0.685063,,
03/01/2020 16:02:23,#BernieSanders2020 #BernieSanders #BernieBeatsTrump #NotMeUs #SuperTuesday #TexasPrimary #CaliforniaPrimary #VirginiaPrimary #NorthCarolinaPrimary #MassachusettsPrimary https://t.co/0QiNsj3j9B,0.7607508,,
03/01/2020 15:54:26,#BernieSanders #BernieSanders2020 #BernieSandersForPresident #SuperTuesday #TexasPrimary #CaliforniaPrimary #CaliforniaForBernie #VirginiaPrimary https://t.co/tBAN2DxZyr,0.85007346,,
03/01/2020 15:38:10,Thank you for all your hard work! We will win the Central Valley and #CaliforniaPrimary for #Bernie2020 #UnidosConBernie https://t.co/UCZOeBg75t,0.85579187,SouthEastern USA,
03/01/2020 15:30:35,@ewarren is this the same gentleman #BernieSanders you want me to believe always fails? You can’t fail when your main focus is the people. Go home Liz #PrimaryWarrren #DropOutWarren #NotMeUs #bernie #CaliforniaPrimary #FloridaForBernie #TexasPrimary #FloridaPrimary https://t.co/Sbel92QiNS,0.9903266,Florida,
03/01/2020 14:28:32,#vote #CaliforniaPrimary #NotMeUs https://t.co/ivNtpi58tY,0.079360664,"Los Angeles ",
03/01/2020 14:27:47,"@GottaBernNow #vote #CaliforniaPrimary #NotMeUs #OurRevolution (March 3rd deadline)
NO PARTY PREFERENCE VOTERS - YOU MUST REQUEST a  DEMOCRATIC  CROSSOVER BALLOT

https://t.co/w4wcXCy2Bl",0.32788813,"Los Angeles ",
03/01/2020 14:27:15,"@TheBarbaraSmith @BernieSanders #vote #CaliforniaPrimary #NotMeUs #OurRevolution (March 3rd deadline)
NO PARTY PREFERENCE VOTERS - YOU MUST REQUEST a  DEMOCRATIC  CROSSOVER BALLOT

https://t.co/w4wcXCy2Bl",0.5683465,"Los Angeles ",
03/01/2020 14:26:26,"@BilldeBlasio @JoeBiden @BernieSanders #vote #CaliforniaPrimary #NotMeUs #OurRevolution (March 3rd deadline)
NO PARTY PREFERENCE VOTERS - YOU MUST REQUEST a  DEMOCRATIC  CROSSOVER BALLOT

https://t.co/w4wcXCy2Bl",0.4448934,"Los Angeles ",
03/01/2020 14:25:11,"@ninaturner @SenSanders @MSNBC @CNN 

#vote #CaliforniaPrimary #NotMeUs #OurRevolution (March 3rd deadline)
NO PARTY PREFERENCE VOTERS - YOU MUST REQUEST a  DEMOCRATIC  CROSSOVER BALLOT

https://t.co/w4wcXCy2Bl",0.3491653,"Los Angeles ",
03/01/2020 14:04:44,"What to Bring to Your Polling Place | California Secretary of State

#vote #CaliforniaPrimary #NotMeUs #OurRevolution
LA County Voters - 🗳🇺🇸 (March 3rd deadline)
NO PARTY PREFERENCE VOTERS - YOU MUST REQUEST a  DEMOCRATIC  CROSSOVER BALLOT https://t.co/ji43h1FNc1",0.10697451,"Los Angeles ",
03/01/2020 13:45:49,#BernieSanders #SuperTuesday #TexasPrimary #CaliforniaPrimary https://t.co/eQYraQ7G6l,0.9318811,,
03/01/2020 13:33:54,#GetBehindBernie #BernieWillWin #Bernie2020  #NotMeUs #MedicareForAll  #GreenNewDeal  #PresidentSanders  #BernieSanders2020 #PresidentSanders  #SuperTuesday #BernieBeatsTrump #CaliforniaPrimary #CAforBernie https://t.co/7MZ5wIM9r2,0.72792876,,
03/01/2020 13:07:56,"1,935 to go. Come on #SuperTuesday 
#BernieSanders2020 #Bernie2020 #BernieWillWin #OnlyBernieBeatsTrump #FundTheBern #NotMeUs 
#CaliforniaPrimary #TexasPrimary https://t.co/Sk0RVKho0b",0.9882246,Brasil/NYC,https://pbs.twimg.com/media/ESBp08fXkAAozKZ.png
03/01/2020 12:44:22,"The #SouthCarolinaPrimary is just 1 state. It is not indicative of #SuperTuesday. It was always going to be a @JoeBiden win. #Bernie leads among Hispanic and Black voters nationally, leads in national polling overall &amp; has a huge lead in the #CaliforniaPrimary. #Bernie2020 https://t.co/fnbjpTemjf",0.35686433,"New York, USA",
03/01/2020 12:08:45,#GetBehindBernie #BernieWillWin #Bernie2020  #NotMeUs #MedicareForAll  #GreenNewDeal  #PresidentSanders  #BernieSanders2020 #PresidentSanders  #SuperTuesday #BernieBeatsTrump #CaliforniaPrimary #CAforBernie https://t.co/XfL1FS7JFC,0.72792876,,
03/01/2020 11:26:51,#GetBehindBernie #BernieWillWin #Bernie2020  #NotMeUs #MedicareForAll #Medicare4All #GreenNewDeal  #PresidentSanders  #BernieSanders2020   #SCPrimary #SuperTuesday #BernieBeatsTrump #CaliforniaPrimary #CAforBernie #TexasPrimary #TexasForBernie #Minnesota https://t.co/7Q55891807,0.6935424,,
03/01/2020 11:22:51,#GetBehindBernie #BernieWillWin #Bernie2020  #NotMeUs #MedicareForAll #Medicare4All #GreenNewDeal  #PresidentSanders  #BernieSanders2020   #SCPrimary #SuperTuesday #BernieBeatsTrump #CaliforniaPrimary #CAforBernie #TexasPrimary #TexasForBernie #BernieMoneyBomb https://t.co/AoKpBC8GoB,0.59605277,,
03/01/2020 09:50:35,#GetBehindBernie #BernieWillWin #Bernie2020  #NotMeUs #MedicareForAll #Medicare4All #GreenNewDeal  #PresidentSanders  #BernieSanders2020 #PresidentSanders  #SCPrimary #SuperTuesday #BernieBeatsTrump #CaliforniaPrimary #CAforBernie #TexasPrimary #TexasForBernie https://t.co/a73wkhVrAU,0.67400116,,
03/01/2020 07:13:53,"Ackles fam here to remind you that voting centers are already open. So vote early, or vote on the 3rd-just go vote! ❤️🤍💙 
#ginnysfirstelection
.
.
.
#bernie2020 #govote #vote #californiaprimary #primaryelection… https://t.co/eRq4Fcc2Cf",0.258204,"Los Angeles, CA.",
03/01/2020 06:53:28,#Vote  #SuperTuesday  for  #BernieSanders  in #CaliforniaPrimary #Tennessee #AlabamaPrimary  He fought for civil rights and is still fighting for human rights! He is the real deal! #BernieSanders2020 https://t.co/5NY4ln0x7b https://t.co/T82EtSmMpp,0.98499537,,https://pbs.twimg.com/media/ESAUdD1W4AAYVyH.jpg
03/01/2020 06:31:40,@shaunking @BernieSanders #FeelTheBern2020 #NotMeUs #FightThePower #BernieBeatsTrump #BernieIsTheFrontRunner #BernieSandersForPresident #DNCisCorrupt #DNCRigging #DNCFraudLawsuit #CaliforniaForBernie #CaliforniaPrimary #BernieBros #BernieCare4All #Bernie46 https://t.co/p2a6G8NCHX,0.52663875,,https://pbs.twimg.com/media/ESAPgAjW4AIjmQU.jpg
03/01/2020 06:25:10,"May be hard to see. But, that’s the crescent moon laying on it’s side smiling down on #California .
We / #Bernie2020 won the first 3 states, came in second in the fourth. We’re ahead in delegates. And we’re going to win the #CaliforniaPrimary for #NotMeUs ! Keep Smiling &amp; Working https://t.co/d6qtut847I",0.42700025,"Los Angeles, CA",https://pbs.twimg.com/media/ESAOBOcUUAMHfou.jpg
03/01/2020 06:14:08,"After SC, MSNBC Pundits Write Off Bernie But... #FeelTheBern2020 #FeelTheBern #NotMeUs #BernieBeatsTrump #BernieOrBust #CaliforniaPrimary #CaliforniaForBernie #TexasHoopsRivals #FightThePower #FightFor15 #DNCFraudLawsuit #DNCrigged ⁦@SenSanders⁩  https://t.co/cd6OkGkTA9",0.16101688,,
03/01/2020 05:14:11,#BernieInCA #SuperTuesday #CaliforniaPrimary #NotMeUs #LeftIsBest #TYTLive https://t.co/gstpV8tTsw,0.7391604,#NYC,
03/01/2020 05:00:51,#SuperTuesday #CaliforniaPrimary #TexasPrimary #Bernie2020 #FeelTheBern https://t.co/txzdXMyKFe,0.9007437,Folkvangr,https://pbs.twimg.com/media/ER_5TGfU8AEya3x.jpg
03/01/2020 04:56:18,I’m not sure how I ended up on a Bloomberg list. Guess he can buy anything. #NotMeUs #CaliforniaPrimary https://t.co/OpCbjCL9YK,0.009229022,"Los Angeles, California",https://pbs.twimg.com/media/ER_5rgeVUAEdbc1.jpg
03/01/2020 04:47:30,"@ewarren volunteers keep texting me, but I keep reverse text banking for Bernie ✌🏼 #NotMeUs #CaliforniaPrimary",0.006599624,"California, USA",
03/01/2020 04:43:23,#SuperTuesday #CaliforniaPrimary #BernieBeatsTrump #BernieisTheFrontRunner #NotMeUs #BernieOrBust #Bernie2020 https://t.co/bXEWHtq2xi,0.4590989,Soviet Yugoslavia,
03/01/2020 04:36:01,#MA4Bernie #CaliforniaPrimary #MAprimary #Bernie2020 https://t.co/4vs8Jkqq3I,0.8070744,wisconsin,
03/01/2020 04:35:02,@BernieSanders @TomSteyer #Breaking_News #BernieSanders reveals his economic plan video.#SCprimary2020 #SouthCarolinaPrimary #CoronaVirusUpdate #WATLIV #HumanRightsRefugee #HBDtoWONHO #AfghanPeaceProcess #Biden2020 #WalkAwayFromDemocrats #WalkAway #Trump #KAG #KAG2020 #MAGA #CaliforniaPrimary #Venezuela https://t.co/xn459WIi5f,0.8702741,"Brooklyn, NY",https://pbs.twimg.com/ext_tw_video_thumb/1233973979557302272/pu/img/8RgdpyGQz_r8GQ5r.jpg
03/01/2020 04:32:12,Honk for Bernie #Bernie2020 #CaliforniaPrimary https://t.co/OlnOJJy1Br,0.5696644,"Eagle Rock, California",https://pbs.twimg.com/ext_tw_video_thumb/1233973226927161344/pu/img/_lDAmsPTLuPVOLXA.jpg
03/01/2020 04:06:20,#GetBehindBernie #BernieWillWin #Bernie2020  #NotMeUs #MedicareForAll #Medicare4All #GreenNewDeal  #PresidentSanders  #BernieSanders2020 #PresidentSanders  #SCPrimary #SuperTuesday #BernieBeatsTrump #CaliforniaPrimary #CAforBernie #TexasPrimary #TexasForBernie https://t.co/dj2KITFGG8,0.67400116,,
03/01/2020 03:55:50,I just donated to #BernieSanders .  Who's with me? #SuperTuesday #californiaPrimary #TexasPrimary https://t.co/8tS3CO1uAD,0.79297584,,
03/01/2020 03:54:08,#SuperTuesday #californiaprimary #texasprimary #notmeus #BernieSanders2020 https://t.co/cYkueC9ijs,0.54400074,,
03/01/2020 03:45:24,#Bernie2020 #BernieSanders2020 #BernieSanders #texasprimary #SuperTuesday #californiaPrimary https://t.co/udCoTi7iC9,0.9145762,,
03/01/2020 03:41:14,"OH HELL NO #AdamSchiff AdamSchiff #TedLieu 
#NancyPelosi #GavinNewsom 
#DemocraticPrimary #Democrats #DNC
#CaliforniaPrimary #California #Bernie2020 
#VoteBlueNoMatterWho 
@realDonaldTrump @DanScavino @parscale 
@EricEarly_CA https://t.co/wkR8tBLPGe",0.29959202,"Monrovia, Ca",
